Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE
A3_subband,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.9071153998374939,0.7196428775787354,0.676790468149008,1.085577368736267,0.6631249785423279,0.6103405065545611,123.21166276931763,11.186891100623392,400.46872358937605,308840,multilevel_details
A3_subband,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.821220874786377,0.7696428298950195,0.734946519706897,1.0032453536987305,0.7037500143051147,0.6509008129629057,197.05542063713074,10.36292754976373,432.31026932173637,308840,multilevel_details
A3_subband,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.7826471924781799,0.8169642686843872,0.7959191266853353,0.9060677886009216,0.7718750238418579,0.7499838479351073,310.4158887863159,10.339842247962952,433.27546906072024,308840,multilevel_details
A3_subband,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.9257641434669495,0.7026785612106323,0.6239045071864859,1.067361831665039,0.6618750095367432,0.5845415717467114,210.6464126110077,10.524240088462829,425.683941295789,308840,multilevel_details
A3_subband,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.8905003070831299,0.7214285731315613,0.6409112251573303,1.075144648551941,0.6637499928474426,0.586915959331234,204.91277289390564,10.776376247406006,415.72416340589314,308840,multilevel_details
A3_subband,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.5091520547866821,0.9312499761581421,0.9290211104579196,0.7147480249404907,0.8575000166893005,0.8539483961081208,293.71326088905334,9.782973901430767,457.9384597300006,308840,multilevel_details
A3_subband,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.6073481440544128,0.8919642567634583,0.8889219769743166,0.7749634385108948,0.8206250071525574,0.8127374977090978,361.8731470108032,12.051899369557699,371.7256394719146,308840,multilevel_details
A3_subband,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.5210974812507629,0.9285714030265808,0.9272429059474221,0.6682223677635193,0.8743749856948853,0.8707953140474287,331.13505959510803,11.029500055313111,406.18341516231305,308840,multilevel_details
A3_subband,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.5734463334083557,0.9080356955528259,0.9054527195712118,0.7439386248588562,0.8368750214576721,0.8300493519973404,331.16110587120056,11.031533797581991,406.10853234044157,308840,multilevel_details
A3_subband,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.5816367268562317,0.9071428775787354,0.9011722398636721,0.7971504926681519,0.8237500190734863,0.8135737075555888,305.2590022087097,10.167419711748758,440.62310074828775,308840,multilevel_details
A3_subband,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.47456082701683044,0.9553571343421936,0.9541409360913483,0.6397022604942322,0.8962500095367432,0.8940922841360136,302.06365418434143,10.06046375433604,445.30750364953394,308840,multilevel_details
A3_subband,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.6300508975982666,0.8821428418159485,0.8789997432801214,0.7503989338874817,0.8381249904632568,0.8325124417288979,283.05213499069214,9.42800894578298,475.1798630827396,308840,multilevel_details
A3_subband,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.4999883472919464,0.9383928775787354,0.9380601606824058,0.6708659529685974,0.8831250071525574,0.8799046261450857,319.3208417892456,10.636672798792521,421.1843388196139,308840,multilevel_details
A3_subband,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.5186387300491333,0.925000011920929,0.9231580003736564,0.6237852573394775,0.8924999833106995,0.890242936379731,311.56094098091125,10.378740628560385,431.6516001634981,308840,multilevel_details
A3_subband,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.541452169418335,0.9196428656578064,0.9162693307063519,0.7481405735015869,0.840624988079071,0.8351917930594455,301.4695019721985,10.042115155855814,446.12115380768137,308840,multilevel_details
A3_subband,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.7346900105476379,0.8321428298950195,0.8112504961325332,0.8660614490509033,0.7743750214576721,0.7486964949163952,292.710608959198,10.086629744233756,444.1523198133738,308840,multilevel_details
A3_subband,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.5528109669685364,0.918749988079071,0.9167272681698249,0.7045983076095581,0.8675000071525574,0.8632632000136051,302.4997134208679,10.076185607910157,444.61269118375947,308840,multilevel_details
A3_subband,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.5577430725097656,0.9196428656578064,0.917664563806478,0.7242478728294373,0.8493750095367432,0.8439421616793241,382.0257511138916,12.725714914004008,352.04308993830955,308840,multilevel_details
A3_subband,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.5444536209106445,0.918749988079071,0.9159714717225619,0.6847258806228638,0.8756250143051147,0.872282355055833,337.45191740989685,11.24062561194102,398.5543291505817,308840,multilevel_details
A3_subband,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.6093913912773132,0.893750011920929,0.8842534233654544,0.8357827067375183,0.8068749904632568,0.7959759588122888,311.2673325538635,10.368711455663044,432.06911670332704,308840,multilevel_details
A3_subband,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.49885571002960205,0.949999988079071,0.9484225206675805,0.700980544090271,0.8675000071525574,0.8639456334737837,310.27769327163696,10.335286092758178,433.46647202529664,308840,multilevel_details
A3_subband,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.537319540977478,0.9178571701049805,0.9153973416859587,0.7313352227210999,0.8543750047683716,0.8494261890633265,287.58331775665283,9.57957410812378,467.66170911510767,308840,multilevel_details
A3_subband,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.7163522243499756,0.8428571224212646,0.8285211735105875,0.8532900810241699,0.7893750071525574,0.772087249300056,291.38028359413147,9.705989305178324,461.5706713801794,308840,multilevel_details
A3_subband,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.4905574321746826,0.9428571462631226,0.9415008444669045,0.6396386623382568,0.8956249952316284,0.8935361307096712,298.973210811615,9.959148518244426,449.8376534693674,308840,multilevel_details
A3_subband,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.5113714337348938,0.9410714507102966,0.938270035834434,0.6978975534439087,0.8612499833106995,0.8566001580632441,302.3793866634369,10.072006885210673,444.7971542372802,308840,multilevel_details
A3_subband,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.49777650833129883,0.9464285969734192,0.9450200051704244,0.6645872592926025,0.8887500166893005,0.8860353828575532,300.5139694213867,10.009732047716776,447.56442816287876,308840,multilevel_details
A3_subband,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.6219430565834045,0.8910714387893677,0.88825481749173,0.7952880859375,0.8231250047683716,0.8154437513002384,279.78023409843445,10.354953359674525,432.6431848014441,308840,multilevel_details
A3_subband,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.5432119369506836,0.9178571701049805,0.9171738788151229,0.697081983089447,0.862500011920929,0.8578413540899991,290.11792755126953,9.6633145570755,463.6090415497997,308840,multilevel_details
A3_subband,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.5282570719718933,0.9223214387893677,0.9205750288989274,0.7006440162658691,0.8600000143051147,0.8554474001136692,307.11475253105164,10.229777185122172,437.9372022408811,308840,multilevel_details
A3_subband,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.5059362649917603,0.9375,0.935132958409005,0.6906673312187195,0.8700000047683716,0.8672099972554368,307.9382290840149,10.257194511095683,436.7666027151748,308840,multilevel_details
