Model,Val AUC Mean,Val AUC Std,Test AUC Mean,Test AUC Std
Baseline CNN,0.9735860399039045,0.003910048661354226,0.9430369791666667,0.005077388314620006
WaveletFusion 7-level,0.9964117860014692,0.0008887037912222632,0.9826500000000001,0.0017286534833992812
WaveletFusion 8-level,0.9899646077908862,0.004322023991126944,0.9687160416666666,0.006905798482443704
