Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,N_LEVELS,Num Classes
A3_subband_L7_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.3582107126712799,0.9542619585990906,0.9542617565698479,0.3664780855178833,0.9534109830856323,0.9534077568830708,129.6984839439392,4.316807349522908,444.7731493535836,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.2913087010383606,0.9896050095558167,0.9896048098825625,0.3080323338508606,0.981697142124176,0.9816953470020627,127.6229100227356,4.248074261347453,451.96950003199623,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.33000051975250244,0.9708939790725708,0.9708908254659889,0.33241498470306396,0.9650582075119019,0.9650334538503096,137.91785264015198,4.590360403060913,418.2678115469362,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.3501162827014923,0.9646569490432739,0.964654520305172,0.3625769019126892,0.9584026336669922,0.9584022015686731,133.17531490325928,4.432946141560873,433.1205339941157,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.3490470349788666,0.9604989886283875,0.9604962285763686,0.34798315167427063,0.9650582075119019,0.9650578493176853,109.73636603355408,4.382533559799194,438.1027489697018,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.3294692039489746,0.9729729890823364,0.9729687668864152,0.33221736550331116,0.9717137813568115,0.9717125572767418,128.29506039619446,4.270166150728861,449.63121626362977,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.3018713891506195,0.987525999546051,0.9875259336099586,0.3197802007198334,0.9750415682792664,0.9750413209412039,128.51841473579407,4.277598492304484,448.84998053326706,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.4089735448360443,0.9313929080963135,0.9313347608850822,0.3854540288448334,0.9450914859771729,0.9450909060706485,132.06302165985107,4.395526536305746,436.80773717127386,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.34728360176086426,0.9646569490432739,0.9646514643899275,0.3485085964202881,0.9683859944343567,0.9683804207267602,130.41015005111694,4.3405278841654455,442.34251022883564,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.3222329318523407,0.9812889695167542,0.9812886577886124,0.3353164494037628,0.9733777046203613,0.9733758610760406,130.75606727600098,4.35181155204773,441.1955750006111,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.36600300669670105,0.9584199786186218,0.9584197786998617,0.3678849935531616,0.9517470598220825,0.9517278435260914,128.37890934944153,4.27244865099589,449.3910066192267,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",42,42,0.2903628945350647,0.9896050095558167,0.9896048098825625,0.3009946346282959,0.9850249290466309,0.9850249584026622,127.65893578529358,4.249280301729838,451.84122102239,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",43,43,0.3004007041454315,0.9896050095558167,0.9896048098825625,0.31688323616981506,0.9833610653877258,0.9833573327425786,127.6639084815979,4.249925557772318,451.77261904945124,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",44,44,0.4046328663825989,0.9209979176521301,0.9209893834076841,0.4057888984680176,0.9367720484733582,0.936763468013468,123.44895625114441,4.250001241420877,451.76457392235915,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",45,45,0.32459086179733276,0.9792099595069885,0.9792091704415782,0.34124311804771423,0.9683859944343567,0.9683860232945092,127.5955581665039,4.247325531641642,452.04917440314426,267606,multilevel_details,7,2
A3_subband_L7_br35h,LH_only,"{'LH': 1.0, 'HL': 0.0, 'HH': 0.0}",46,46,0.36220285296440125,0.9501039385795593,0.9500864752680733,0.37747663259506226,0.9450914859771729,0.9450909060706485,126.69081115722656,4.217077970504761,455.2915581426128,267606,multilevel_details,7,2
