epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5557291507720947,0.8840533494949341,0.6382536292076111,0.8499016761779785,0.0003000000142492354
1,0.5843750238418579,0.8427650332450867,0.7234927415847778,0.8212988972663879,0.0003000000142492354
2,0.6822916865348816,0.7816793918609619,0.7505197525024414,0.7489897608757019,0.0003000000142492354
3,0.7354166507720947,0.7215945720672607,0.7837837934494019,0.6821361184120178,0.0003000000142492354
4,0.7442708611488342,0.7087492346763611,0.7796257734298706,0.6356633305549622,0.0003000000142492354
5,0.7864583134651184,0.6614254117012024,0.8170478343963623,0.5773215293884277,0.0003000000142492354
6,0.8286458253860474,0.610556423664093,0.8336798548698425,0.549518346786499,0.0003000000142492354
7,0.8322916626930237,0.5884444713592529,0.8523908257484436,0.526296854019165,0.0003000000142492354
8,0.832812488079071,0.5861840844154358,0.8877338767051697,0.47480982542037964,0.0003000000142492354
9,0.854687511920929,0.5527443289756775,0.8419958353042603,0.6058051586151123,0.0003000000142492354
10,0.878125011920929,0.5251290798187256,0.8357588648796082,0.5839148163795471,0.0003000000142492354
11,0.8854166865348816,0.5039071440696716,0.9002078771591187,0.49456489086151123,0.0003000000142492354
12,0.8963541388511658,0.4771384000778198,0.885654866695404,0.48742055892944336,0.0001500000071246177
13,0.9052083492279053,0.47004926204681396,0.8939709067344666,0.48284226655960083,0.0001500000071246177
14,0.9114583134651184,0.4585367441177368,0.8877338767051697,0.48540860414505005,0.0001500000071246177
