epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5494791865348816,0.8869718909263611,0.6486486196517944,0.8503499031066895,0.0003000000142492354
1,0.6864583492279053,0.7768653631210327,0.5488565564155579,0.8322593569755554,0.0003000000142492354
2,0.7447916865348816,0.712101936340332,0.6652806401252747,0.7722001671791077,0.0003000000142492354
3,0.7713541388511658,0.6804960370063782,0.777546763420105,0.6653769016265869,0.0003000000142492354
4,0.7838541865348816,0.6547406315803528,0.8440748453140259,0.5738800168037415,0.0003000000142492354
5,0.8255208134651184,0.6036590933799744,0.866943895816803,0.5129026770591736,0.0003000000142492354
6,0.8447916507720947,0.5878007411956787,0.8835758566856384,0.4902440905570984,0.0003000000142492354
7,0.8453124761581421,0.580957293510437,0.8773388862609863,0.48025214672088623,0.0003000000142492354
8,0.859375,0.5398253798484802,0.8711018562316895,0.5301769971847534,0.0003000000142492354
9,0.8760416507720947,0.5300527811050415,0.8773388862609863,0.5044047832489014,0.0003000000142492354
10,0.8817708492279053,0.5068507790565491,0.879417896270752,0.4824264943599701,0.0003000000142492354
11,0.8947916626930237,0.4845491051673889,0.9147608876228333,0.4415420889854431,0.0001500000071246177
12,0.9140625,0.459916889667511,0.8877338767051697,0.4830838441848755,0.0001500000071246177
13,0.9036458134651184,0.4762670397758484,0.9417879581451416,0.3974344730377197,0.0001500000071246177
14,0.9114583134651184,0.45576927065849304,0.9251559376716614,0.4264916181564331,0.0001500000071246177
15,0.9244791865348816,0.43876010179519653,0.9438669681549072,0.38187694549560547,0.0001500000071246177
16,0.926562488079071,0.44231101870536804,0.9604989886283875,0.36241403222084045,0.0001500000071246177
17,0.9307291507720947,0.4358859956264496,0.9480249285697937,0.38725876808166504,0.0001500000071246177
18,0.932812511920929,0.42549899220466614,0.9459459185600281,0.3829438388347626,0.0001500000071246177
19,0.9411458373069763,0.3963049650192261,0.9022868871688843,0.4412592351436615,0.0001500000071246177
20,0.934374988079071,0.40533414483070374,0.9313929080963135,0.40297964215278625,7.500000356230885e-05
21,0.9380208253860474,0.40058770775794983,0.9563409686088562,0.3607849180698395,7.500000356230885e-05
22,0.9473958611488342,0.39938536286354065,0.9542619585990906,0.36261478066444397,7.500000356230885e-05
23,0.942187488079071,0.3968603014945984,0.952182948589325,0.37414026260375977,7.500000356230885e-05
24,0.9520833492279053,0.385116308927536,0.9542619585990906,0.35566237568855286,7.500000356230885e-05
25,0.9437500238418579,0.39949846267700195,0.9168398976325989,0.42647695541381836,7.500000356230885e-05
26,0.953125,0.38099920749664307,0.9584199786186218,0.3549785315990448,7.500000356230885e-05
27,0.9520833492279053,0.37927374243736267,0.9646569490432739,0.3501162827014923,7.500000356230885e-05
28,0.9541666507720947,0.3774157762527466,0.9625779390335083,0.352968692779541,7.500000356230885e-05
29,0.9588541388511658,0.3774142861366272,0.9251559376716614,0.4128758907318115,7.500000356230885e-05
