epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.543749988079071,0.8776588439941406,0.5945945978164673,0.8495117425918579,0.0003000000142492354
1,0.6302083134651184,0.8168300986289978,0.6860706806182861,0.8142880797386169,0.0003000000142492354
2,0.690625011920929,0.7693609595298767,0.717255711555481,0.7611032724380493,0.0003000000142492354
3,0.734375,0.7181867361068726,0.7567567825317383,0.6694865822792053,0.0003000000142492354
4,0.7489583492279053,0.6964384913444519,0.8066527843475342,0.6085320711135864,0.0003000000142492354
5,0.7854166626930237,0.665490984916687,0.8419958353042603,0.5473636984825134,0.0003000000142492354
6,0.817187488079071,0.6145060658454895,0.8523908257484436,0.5525287389755249,0.0003000000142492354
7,0.8286458253860474,0.5988277196884155,0.8877338767051697,0.4977436363697052,0.0003000000142492354
8,0.8395833373069763,0.5808643698692322,0.879417896270752,0.5290737152099609,0.0003000000142492354
9,0.8541666865348816,0.5583584308624268,0.8170478343963623,0.6638934016227722,0.0003000000142492354
10,0.8692708611488342,0.537762463092804,0.8087317943572998,0.7286720275878906,0.0003000000142492354
11,0.8786458373069763,0.5335400700569153,0.9022868871688843,0.45920321345329285,0.0001500000071246177
12,0.8973958492279053,0.4919149577617645,0.8939709067344666,0.47993791103363037,0.0001500000071246177
13,0.8880208134651184,0.4879682958126068,0.8690228462219238,0.566126823425293,0.0001500000071246177
14,0.8994791507720947,0.4790935814380646,0.8939709067344666,0.49749913811683655,0.0001500000071246177
15,0.9072916507720947,0.467733234167099,0.885654866695404,0.5207421779632568,7.500000356230885e-05
16,0.9156249761581421,0.4568331837654114,0.8898128867149353,0.49629074335098267,7.500000356230885e-05
17,0.9166666865348816,0.44628608226776123,0.9085239171981812,0.4386043846607208,7.500000356230885e-05
18,0.9135416746139526,0.4516834318637848,0.9064449071884155,0.4644221365451813,7.500000356230885e-05
19,0.9166666865348816,0.4447375237941742,0.9043658971786499,0.46290555596351624,7.500000356230885e-05
20,0.9203125238418579,0.4435754120349884,0.9189189076423645,0.4418688416481018,7.500000356230885e-05
21,0.9276041388511658,0.4296490252017975,0.9147608876228333,0.42887720465660095,3.7500001781154424e-05
22,0.9302083253860474,0.43068867921829224,0.9106029272079468,0.4396088421344757,3.7500001781154424e-05
23,0.9281250238418579,0.43026003241539,0.9230769276618958,0.4274695813655853,3.7500001781154424e-05
24,0.926562488079071,0.42706984281539917,0.9106029272079468,0.4441925883293152,3.7500001781154424e-05
25,0.921875,0.43888142704963684,0.9230769276618958,0.4211425483226776,3.7500001781154424e-05
26,0.9286458492279053,0.4207032322883606,0.9168398976325989,0.4254875183105469,3.7500001781154424e-05
27,0.9260416626930237,0.4226803481578827,0.9313929080963135,0.4089735448360443,3.7500001781154424e-05
28,0.9354166388511658,0.41153737902641296,0.9085239171981812,0.4330655634403229,3.7500001781154424e-05
29,0.9375,0.4135288596153259,0.9189189076423645,0.4403937757015228,3.7500001781154424e-05
