Ablation,Config,SelectedLevels,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE
A2_scale,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",42,42,0.5044808983802795,0.9428571462631226,0.9420428921229811,0.7053315043449402,0.8637499809265137,0.8584530148591016,317.6957902908325,10.58220144112905,423.352364337719,308840,multilevel_details
A2_scale,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",43,43,0.5994489192962646,0.8892857432365417,0.8841631670595493,0.7829562425613403,0.8293750286102295,0.8208600131796466,308.94012451171875,10.290444978078206,435.35532326772744,308840,multilevel_details
A2_scale,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",44,44,0.48257380723953247,0.9535714387893677,0.9536100673304637,0.6478126049041748,0.8912500143051147,0.888585605498262,302.46522760391235,10.075772452354432,444.6309224612498,308840,multilevel_details
A2_scale,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",45,45,0.5005911588668823,0.9419642686843872,0.9410832782702628,0.6702549457550049,0.8849999904632568,0.8817843996940007,307.06214809417725,10.227683854103088,438.0268361739337,308840,multilevel_details
A2_scale,All_L1_8,"[1, 2, 3, 4, 5, 6, 7, 8]",46,46,0.5459479689598083,0.9223214387893677,0.9191363242906008,0.7324295043945312,0.8506249785423279,0.8448977501613371,309.21210193634033,10.300068585077922,434.94856009894306,308840,multilevel_details
A2_scale,Coarse_L6_8,"[6, 7, 8]",42,42,0.7713111639022827,0.7267857193946838,0.7002865627602947,0.8690820932388306,0.7012500166893005,0.6675523774936468,305.4591202735901,10.175380500157674,440.2783758239389,308840,multilevel_details
A2_scale,Coarse_L6_8,"[6, 7, 8]",43,43,0.787189245223999,0.7410714030265808,0.7279488642000437,0.9090532064437866,0.6643750071525574,0.6329787866099658,299.57206320762634,9.979390223821005,448.9252248405068,308840,multilevel_details
A2_scale,Coarse_L6_8,"[6, 7, 8]",44,44,0.7689811587333679,0.7544642686843872,0.7410655928371218,0.9416705965995789,0.6668750047683716,0.6362433486699717,299.1767737865448,9.96591645081838,449.5321651660156,308840,multilevel_details
A2_scale,Coarse_L6_8,"[6, 7, 8]",45,45,0.7742600440979004,0.7580357193946838,0.7363321089533035,0.9050776958465576,0.6949999928474426,0.6668804265222701,305.41663670539856,10.173808789253235,440.3463926639057,308840,multilevel_details
A2_scale,Coarse_L6_8,"[6, 7, 8]",46,46,0.765357255935669,0.7571428418159485,0.7314108123074183,0.896449863910675,0.6806250214576721,0.6432073805300107,308.6236708164215,10.25756847858429,436.7506792036852,308840,multilevel_details
A2_scale,Fine_L1_2,"[1, 2]",42,42,0.46040087938308716,0.9508928656578064,0.9497014422294616,0.6455111503601074,0.8812500238418579,0.8782586567492376,295.36933040618896,9.839296929041545,455.31708538817327,308840,multilevel_details
A2_scale,Fine_L1_2,"[1, 2]",43,43,0.47223761677742004,0.9482142925262451,0.9472879437178282,0.6269344091415405,0.8893749713897705,0.8866736595416753,294.21282052993774,9.800333126386006,457.12731824780894,308840,multilevel_details
A2_scale,Fine_L1_2,"[1, 2]",44,44,0.5901777148246765,0.8883928656578064,0.884747962034733,0.7508477568626404,0.8224999904632568,0.8140305682314333,295.0356650352478,9.827829353014629,455.84837089441186,308840,multilevel_details
A2_scale,Fine_L1_2,"[1, 2]",45,45,0.4751186966896057,0.9392856955528259,0.9383939748668751,0.6338840126991272,0.8806250095367432,0.8769865701595353,294.7510542869568,9.818495972951252,456.2816965390472,308840,multilevel_details
A2_scale,Fine_L1_2,"[1, 2]",46,46,0.566460132598877,0.8910714387893677,0.8813891926539206,0.7141321301460266,0.8418750166893005,0.834883067947067,304.3094801902771,10.13683904806773,441.9523658959517,308840,multilevel_details
A2_scale,Mid_L3_5,"[3, 4, 5]",42,42,0.489488810300827,0.9232142567634583,0.9192954385622173,0.676150381565094,0.846875011920929,0.8413079385898021,303.2983376979828,10.103020429611206,443.4317470911423,308840,multilevel_details
A2_scale,Mid_L3_5,"[3, 4, 5]",43,43,0.5715417861938477,0.8785714507102966,0.8752940763190602,0.7153910994529724,0.8106250166893005,0.8013440469945077,303.44278264045715,10.107819453875225,443.2212130859162,308840,multilevel_details
A2_scale,Mid_L3_5,"[3, 4, 5]",44,44,0.49436596035957336,0.9214285612106323,0.9206670399198267,0.67604660987854,0.8581249713897705,0.8530779627522155,300.3977196216583,10.00640103816986,447.7134169329054,308840,multilevel_details
A2_scale,Mid_L3_5,"[3, 4, 5]",45,45,0.5186372995376587,0.9080356955528259,0.9074537933304616,0.6426099538803101,0.8656250238418579,0.8627907056140334,303.6658239364624,10.115734537442526,442.87441346129276,308840,multilevel_details
A2_scale,Mid_L3_5,"[3, 4, 5]",46,46,0.5123592019081116,0.9107142686843872,0.9057958010790523,0.6750727891921997,0.8362500071525574,0.8299372380868669,382.61639070510864,12.746134726206462,351.47910297770323,308840,multilevel_details
