Ablation,Config,SelectedLevels,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,Num Classes
A2_scale_WF7_br35h,Coarse_L6_7,"[6, 7]",42,42,0.26952359080314636,0.9480249285697937,0.947952059626813,0.296195924282074,0.9334442615509033,0.9332889332889334,184.07921886444092,6.126998321215312,313.367149677815,267606,multilevel_details,2
A2_scale_WF7_br35h,Coarse_L6_7,"[6, 7]",43,43,0.33670222759246826,0.8981289267539978,0.8977825195054147,0.30272001028060913,0.941763699054718,0.9416707105719238,191.20021653175354,6.36304030418396,301.7425488783281,267606,multilevel_details,2
A2_scale_WF7_br35h,Coarse_L6_7,"[6, 7]",44,44,0.2760377526283264,0.9459459185600281,0.9459401044368365,0.2660366892814636,0.9534109830856323,0.9533891732588801,208.33101177215576,6.934366607666016,276.8818132397874,267606,multilevel_details,2
A2_scale_WF7_br35h,Coarse_L6_7,"[6, 7]",45,45,0.26976385712623596,0.9480249285697937,0.9480213533899586,0.2602059841156006,0.9667221307754517,0.9667198263450507,260.95099806785583,8.685632348060608,221.0547169232545,267606,multilevel_details,2
A2_scale_WF7_br35h,Coarse_L6_7,"[6, 7]",46,46,0.29226362705230713,0.9355509281158447,0.9355107972164676,0.311947226524353,0.9284525513648987,0.9283732583889734,184.44894361495972,6.13867301940918,312.77117936227717,267606,multilevel_details,2
A2_scale_WF7_br35h,Early_L1_2,"[1, 2]",42,42,0.2919803559780121,0.975051999092102,0.9750510045298939,0.3010423481464386,0.9683859944343567,0.968382872094472,198.70396375656128,6.612892198562622,290.341947569829,267606,multilevel_details,2
A2_scale_WF7_br35h,Early_L1_2,"[1, 2]",43,43,0.3169720768928528,0.9646569490432739,0.964654520305172,0.2967187464237213,0.9767054915428162,0.9767023303207514,148.3380753993988,4.932453060150147,389.2586460704309,267606,multilevel_details,2
A2_scale_WF7_br35h,Early_L1_2,"[1, 2]",44,44,0.36290183663368225,0.9376299381256104,0.9376275113247345,0.3722836375236511,0.9384359121322632,0.9384250298363225,223.6764395236969,7.440503629048665,258.0470483885093,267606,multilevel_details,2
A2_scale_WF7_br35h,Early_L1_2,"[1, 2]",45,45,0.33045095205307007,0.9584199786186218,0.9584183408831564,0.33953985571861267,0.9550748467445374,0.9550669136643435,143.64333987236023,4.781468788782756,401.5502526136503,267606,multilevel_details,2
A2_scale_WF7_br35h,Early_L1_2,"[1, 2]",46,46,0.3262956440448761,0.9604989886283875,0.9604880305408199,0.3597296178340912,0.9517470598220825,0.9517385368987392,216.4063708782196,7.204138565063476,266.51347453407607,267606,multilevel_details,2
A2_scale_WF7_br35h,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",42,42,0.29207295179367065,0.9916840195655823,0.9916836681766312,0.3098072409629822,0.9767054915428162,0.976704910407761,190.88514137268066,6.204083752632141,309.47357846119047,267606,multilevel_details,2
A2_scale_WF7_br35h,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",43,43,0.3723297715187073,0.9501039385795593,0.9500864752680733,0.36893248558044434,0.9550748467445374,0.9550669136643435,244.9051752090454,8.152663056055705,235.5058692844967,267606,multilevel_details,2
A2_scale_WF7_br35h,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",44,44,0.33644574880599976,0.9688149690628052,0.9688144296476874,0.35779327154159546,0.960066556930542,0.9600611376927166,195.39908123016357,6.503857874870301,295.2094029327614,267606,multilevel_details,2
A2_scale_WF7_br35h,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",45,45,0.3422940671443939,0.9646569490432739,0.9646563536007122,0.34523263573646545,0.9650582075119019,0.9650578493176853,237.1787359714508,7.894322848320007,243.21275388535645,267606,multilevel_details,2
A2_scale_WF7_br35h,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",46,46,0.36882010102272034,0.9563409686088562,0.9563379368475653,0.3545553684234619,0.960066556930542,0.9600637916140606,211.90596342086792,7.052814586957296,272.2317418567387,267606,multilevel_details,2
A2_scale_WF7_br35h,Middle_L3_5,"[3, 4, 5]",42,42,0.24890096485614777,0.9812889695167542,0.9812886577886124,0.26892584562301636,0.9733777046203613,0.9733776301218162,279.70884799957275,9.307553664843242,206.28406444244087,267606,multilevel_details,2
A2_scale_WF7_br35h,Middle_L3_5,"[3, 4, 5]",43,43,0.2815878689289093,0.9708939790725708,0.9708938450899032,0.2763420641422272,0.9750415682792664,0.9750316432031507,164.1783938407898,5.464161904652913,351.3805105893837,267606,multilevel_details,2
A2_scale_WF7_br35h,Middle_L3_5,"[3, 4, 5]",44,44,0.2506328225135803,0.987525999546051,0.9875259336099586,0.2912124693393707,0.9700499176979065,0.9700478437105455,148.5665407180786,4.942976109186808,388.4299574969761,267606,multilevel_details,2
A2_scale_WF7_br35h,Middle_L3_5,"[3, 4, 5]",45,45,0.25262144207954407,0.9854469895362854,0.9854467338355875,0.2699500322341919,0.9700499176979065,0.9700491705242641,152.88236546516418,5.088882835706075,377.29302520552193,267606,multilevel_details,2
A2_scale_WF7_br35h,Middle_L3_5,"[3, 4, 5]",46,46,0.2793117165565491,0.975051999092102,0.975051867219917,0.2633139193058014,0.9850249290466309,0.9850247925647222,147.91066694259644,4.923080364863078,389.99972734619365,267606,multilevel_details,2
