Config,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Parameters
LH_only,42,42,0.5651881694793701,0.9035714268684387,0.9001991204124308,0.7476139068603516,0.8218749761581421,0.8141711151885295,226888
LH_only,43,43,0.438258558511734,0.9624999761581421,0.9621762662678235,0.6336678862571716,0.8943750262260437,0.8921755432501439,226888
LH_only,44,44,0.5210205912590027,0.9169642925262451,0.9130548321355728,0.6741387844085693,0.8618749976158142,0.8566134793119281,226888
LH_only,45,45,0.4347827732563019,0.9535714387893677,0.9525100894794379,0.5896032452583313,0.9100000262260437,0.9083198066728058,226888
LH_only,46,46,0.598364531993866,0.8794642686843872,0.872881078497401,0.8102710843086243,0.8081250190734863,0.800328794677537,226888
HL_only,42,42,0.5557242035865784,0.9080356955528259,0.9041844328194674,0.7185342907905579,0.8506249785423279,0.8452587132010506,226888
HL_only,43,43,0.4589381515979767,0.9419642686843872,0.9404025154532885,0.6049240231513977,0.8981249928474426,0.8964087036130677,226888
HL_only,44,44,0.47309449315071106,0.9410714507102966,0.940328947368421,0.6370976567268372,0.8968750238418579,0.8945063326254724,226888
HL_only,45,45,0.5147466063499451,0.9223214387893677,0.9208042698858049,0.6504353284835815,0.8706250190734863,0.8674271791517986,226888
HL_only,46,46,0.5306501388549805,0.9160714149475098,0.9122946068303551,0.7392704486846924,0.8443750143051147,0.8387594965464538,226888
HH_only,42,42,0.872208297252655,0.7151785492897034,0.6561922014062894,0.9935854077339172,0.6725000143051147,0.6091657184865642,226888
HH_only,43,43,0.8641684055328369,0.71875,0.6584044161388773,0.9876099228858948,0.6931250095367432,0.6347402623088958,226888
HH_only,44,44,0.6398901343345642,0.8517857193946838,0.8433526826231661,0.7763471007347107,0.8068749904632568,0.7949845563755475,226888
HH_only,45,45,0.7191677093505859,0.8196428418159485,0.7912936054736623,0.881385087966919,0.7649999856948853,0.7367277797067051,226888
HH_only,46,46,0.7031077742576599,0.8116071224212646,0.779881027800039,0.9351480007171631,0.737500011920929,0.7035999728972426,226888
LH_HL,42,42,0.5472503900527954,0.9133928418159485,0.9118076489865393,0.7298251390457153,0.8356249928474426,0.8300522897843065,226888
LH_HL,43,43,0.5117416381835938,0.9178571701049805,0.9167253004422705,0.6767182946205139,0.8600000143051147,0.8552689811817804,226888
LH_HL,44,44,0.43865466117858887,0.9526785612106323,0.9523784761644024,0.5889578461647034,0.918749988079071,0.9170117024697921,226888
LH_HL,45,45,0.43368181586265564,0.9616071581840515,0.9612970228935254,0.6001930832862854,0.9175000190734863,0.9149834247001353,226888
LH_HL,46,46,0.4325999319553375,0.9553571343421936,0.9543272806605806,0.6106365919113159,0.8993750214576721,0.8966638936588002,226888
LH_HH,42,42,0.5758587121963501,0.9035714268684387,0.9008795979871036,0.8063093423843384,0.8075000047683716,0.7982164202351331,226888
LH_HH,43,43,0.5920038223266602,0.8767856955528259,0.8739651742492247,0.7469570636749268,0.8237500190734863,0.8171701499745463,226888
LH_HH,44,44,0.557652473449707,0.8973214030265808,0.8948943052491309,0.7270399332046509,0.8343750238418579,0.8276846480031904,226888
LH_HH,45,45,0.5882600545883179,0.8910714387893677,0.8856822951820026,0.7563693523406982,0.8206250071525574,0.8108453491899885,226888
LH_HH,46,46,0.5920010805130005,0.8866071701049805,0.8803310285282868,0.7969381213188171,0.8050000071525574,0.7954764472924204,226888
HL_HH,42,42,0.6407446265220642,0.8642857074737549,0.8547619759020633,0.8428507447242737,0.7799999713897705,0.7622311055393457,226888
HL_HH,43,43,0.5207390189170837,0.9214285612106323,0.919996492702708,0.6671537756919861,0.8856250047683716,0.8824411571631872,226888
HL_HH,44,44,0.5278394222259521,0.9053571224212646,0.9046962409563641,0.6752548217773438,0.8581249713897705,0.8535723533110724,226888
HL_HH,45,45,0.5146903395652771,0.9178571701049805,0.9154277563992106,0.6674801111221313,0.871874988079071,0.8689059647539261,226888
HL_HH,46,46,0.5387771725654602,0.9098214507102966,0.9050848274532486,0.7198992371559143,0.8475000262260437,0.8410788754491421,226888
LH_HL_HH,42,42,0.4978615939617157,0.9303571581840515,0.9277461130181541,0.6580620408058167,0.8818749785423279,0.8788155947816735,226888
LH_HL_HH,43,43,0.49448350071907043,0.9303571581840515,0.9287863209994358,0.6550428867340088,0.8843749761581421,0.881593620105444,226888
LH_HL_HH,44,44,0.4428302049636841,0.9491071701049805,0.9489468180014295,0.606747031211853,0.9106249809265137,0.9085170176348976,226888
LH_HL_HH,45,45,0.531408429145813,0.9133928418159485,0.9117934945086797,0.6970072984695435,0.8656250238418579,0.86128299576297,226888
LH_HL_HH,46,46,0.5752662420272827,0.893750011920929,0.8875246884517689,0.7580440640449524,0.8181250095367432,0.8095315770948963,226888
