epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.28258928656578064,1.6386831998825073,0.3151785731315613,1.5375138521194458,0.0003000000142492354
1,0.3542410731315613,1.509762167930603,0.40982142090797424,1.4330894947052002,0.0003000000142492354
2,0.45781248807907104,1.3860130310058594,0.643750011920929,1.1449285745620728,0.0003000000142492354
3,0.5482142567634583,1.2460922002792358,0.706250011920929,0.9447612166404724,0.0003000000142492354
4,0.6026785969734192,1.1571124792099,0.7303571701049805,0.8803550004959106,0.0003000000142492354
5,0.6256696581840515,1.1032553911209106,0.7571428418159485,0.8816090226173401,0.0003000000142492354
6,0.6540178656578064,1.0532145500183105,0.737500011920929,0.8665559887886047,0.0003000000142492354
7,0.6685267686843872,1.0256552696228027,0.7660714387893677,0.8218618631362915,0.0003000000142492354
8,0.6948660612106323,0.9954637885093689,0.7491071224212646,0.8332764506340027,0.0003000000142492354
9,0.7131696343421936,0.9673542380332947,0.7785714268684387,0.8076324462890625,0.0003000000142492354
10,0.7200892567634583,0.9396926760673523,0.7669642567634583,0.8020325899124146,0.0003000000142492354
11,0.7339285612106323,0.9122598767280579,0.8053571581840515,0.7552938461303711,0.0003000000142492354
12,0.7486607432365417,0.8976461887359619,0.8098214268684387,0.7531197667121887,0.0003000000142492354
13,0.7779017686843872,0.854412853717804,0.8062499761581421,0.7571325898170471,0.0003000000142492354
14,0.7816964387893677,0.8445412516593933,0.8089285492897034,0.7638279795646667,0.0003000000142492354
15,0.7997767925262451,0.8220396041870117,0.8500000238418579,0.6971592903137207,0.0003000000142492354
16,0.8229910731315613,0.787125289440155,0.8482142686843872,0.6890849471092224,0.0003000000142492354
17,0.8412946462631226,0.7482408285140991,0.8544642925262451,0.6948633193969727,0.0003000000142492354
18,0.8450892567634583,0.7406080365180969,0.8758928775787354,0.6619485020637512,0.0003000000142492354
19,0.8551339507102966,0.7113949060440063,0.9205357432365417,0.5437890887260437,0.0003000000142492354
20,0.8685267567634583,0.6860710978507996,0.8473214507102966,0.6781542897224426,0.0003000000142492354
21,0.8805803656578064,0.6687252521514893,0.9035714268684387,0.5716230869293213,0.0003000000142492354
22,0.8841517567634583,0.6571543216705322,0.9116071462631226,0.5554887056350708,0.0003000000142492354
23,0.8926339149475098,0.6306340098381042,0.9312499761581421,0.5181171298027039,0.0001500000071246177
24,0.9026785492897034,0.6147494316101074,0.9160714149475098,0.5446291565895081,0.0001500000071246177
25,0.9116071462631226,0.5977652072906494,0.949999988079071,0.49885571002960205,0.0001500000071246177
26,0.9064732193946838,0.6082198619842529,0.9169642925262451,0.5551519393920898,0.0001500000071246177
27,0.9125000238418579,0.5961940884590149,0.9044643044471741,0.5851587653160095,0.0001500000071246177
28,0.9169642925262451,0.5872029662132263,0.9348214268684387,0.5145788788795471,0.0001500000071246177
29,0.9238839149475098,0.5693280100822449,0.9285714030265808,0.5334874987602234,7.500000356230885e-05
