epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.2991071343421936,1.6236141920089722,0.2321428507566452,1.5471084117889404,0.0003000000142492354
1,0.39531248807907104,1.463157057762146,0.3169642984867096,1.4778037071228027,0.0003000000142492354
2,0.4770089387893677,1.349632978439331,0.5294643044471741,1.2862879037857056,0.0003000000142492354
3,0.5439732074737549,1.2650706768035889,0.7116071581840515,1.0097452402114868,0.0003000000142492354
4,0.5895089507102966,1.183148980140686,0.699999988079071,0.9571739435195923,0.0003000000142492354
5,0.6084821224212646,1.1432766914367676,0.6883928775787354,1.0227657556533813,0.0003000000142492354
6,0.6430803537368774,1.1010693311691284,0.6589285731315613,1.0675408840179443,0.0003000000142492354
7,0.6656249761581421,1.046203374862671,0.7151785492897034,0.9142048954963684,0.0003000000142492354
8,0.6776785850524902,1.0366922616958618,0.6937500238418579,0.9726142883300781,0.0003000000142492354
9,0.6881696581840515,1.0045864582061768,0.6732142567634583,0.9828860759735107,0.0003000000142492354
10,0.7006696462631226,0.9862762689590454,0.6866071224212646,0.9969092011451721,0.0003000000142492354
11,0.7263392806053162,0.9426243305206299,0.7124999761581421,0.9177175164222717,0.0001500000071246177
12,0.7352678775787354,0.9327710866928101,0.7214285731315613,0.8905003070831299,0.0001500000071246177
13,0.7495535612106323,0.912931501865387,0.7241071462631226,0.8964064717292786,0.0001500000071246177
14,0.7513392567634583,0.9138376116752625,0.6812499761581421,0.9936380386352539,0.0001500000071246177
15,0.7622767686843872,0.890312671661377,0.6955357193946838,0.9792947769165039,0.0001500000071246177
16,0.7741071581840515,0.874883234500885,0.7124999761581421,0.9494603872299194,7.500000356230885e-05
17,0.7745535969734192,0.8700538873672485,0.7267857193946838,0.9165241718292236,7.500000356230885e-05
18,0.7819196581840515,0.8559437394142151,0.7294642925262451,0.930208683013916,7.500000356230885e-05
