Config,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Parameters
Early_L1_2,42,42,0.5136537551879883,0.9276785850524902,0.9249668967311339,0.6636183857917786,0.8700000047683716,0.8662917157439748,218312
Early_L1_2,43,43,0.44490325450897217,0.9473214149475098,0.9459383625406488,0.6323481202125549,0.8868749737739563,0.884722090958398,218312
Early_L1_2,44,44,0.466207891702652,0.9401785731315613,0.9392156633455876,0.5999061465263367,0.8999999761581421,0.8978066476869038,218312
Early_L1_2,45,45,0.45987242460250854,0.9473214149475098,0.9470792673570207,0.5923368334770203,0.9081249833106995,0.9060132600309018,218312
Early_L1_2,46,46,0.4461421072483063,0.949999988079071,0.9482957869065753,0.5924590826034546,0.9024999737739563,0.9006403732827328,218312
Middle_L3_4,42,42,0.48708388209342957,0.9401785731315613,0.9383866892008988,0.6658998727798462,0.8725000023841858,0.8690591995050965,218216
Middle_L3_4,43,43,0.5768735408782959,0.8991071581840515,0.8970960759134696,0.7272776961326599,0.8299999833106995,0.822807156821423,218216
Middle_L3_4,44,44,0.5204738974571228,0.9267857074737549,0.926173361829288,0.6595942974090576,0.8706250190734863,0.8666848180991633,218216
Middle_L3_4,45,45,0.47806182503700256,0.9410714507102966,0.9402345993578339,0.6318874359130859,0.8868749737739563,0.8842504601196942,218216
Middle_L3_4,46,46,0.4750702381134033,0.9401785731315613,0.9371869469032436,0.6322763562202454,0.8899999856948853,0.8875241989312445,218216
Coarse_L5_6,42,42,0.4800916314125061,0.9419642686843872,0.939826924705214,0.6449689269065857,0.8806250095367432,0.8774089538731005,218152
Coarse_L5_6,43,43,0.49208852648735046,0.9321428537368774,0.9298814946018894,0.625544011592865,0.8881250023841858,0.8851837369333124,218152
Coarse_L5_6,44,44,0.42513999342918396,0.9624999761581421,0.9622249489787251,0.574056088924408,0.9175000190734863,0.9157448523727506,218152
Coarse_L5_6,45,45,0.4349363446235657,0.9535714387893677,0.9531559929340252,0.5815907120704651,0.9206249713897705,0.9187383583443245,218152
Coarse_L5_6,46,46,0.43514931201934814,0.9624999761581421,0.9611520370879396,0.6010825037956238,0.9068750143051147,0.9053120462832546,218152
Full_L1_6,42,42,0.5100386738777161,0.9276785850524902,0.9253436124782836,0.6936784386634827,0.8631250262260437,0.8592313947151389,226888
Full_L1_6,43,43,0.45935097336769104,0.9455357193946838,0.944771162724097,0.5940424203872681,0.9075000286102295,0.9057566062427033,226888
Full_L1_6,44,44,0.4827435612678528,0.9357143044471741,0.9337555480360719,0.6605570912361145,0.8812500238418579,0.8778063445271262,226888
Full_L1_6,45,45,0.4848175644874573,0.9366071224212646,0.9348612245020147,0.632049560546875,0.8893749713897705,0.8868878370308039,226888
Full_L1_6,46,46,0.5115420818328857,0.9196428656578064,0.9139464430689885,0.6889972686767578,0.8662499785423279,0.8616370281888294,226888
