Scale group,L6 Test Accuracy,L6 Test Macro-F1,L7 Test Accuracy,L7 Test Macro-F1,L8 Test Accuracy,L8 Test Macro-F1
Early,0.89 ± 0.02,0.89 ± 0.02,0.90 ± 0.02,0.89 ± 0.02,0.86 ± 0.03,0.86 ± 0.03
Intermediate,0.87 ± 0.02,0.87 ± 0.03,0.89 ± 0.01,0.89 ± 0.01,0.84 ± 0.02,0.84 ± 0.02
Coarse,0.90 ± 0.02,0.90 ± 0.02,0.71 ± 0.01,0.69 ± 0.01,0.68 ± 0.02,0.65 ± 0.02
Full,0.88 ± 0.02,0.88 ± 0.02,0.89 ± 0.05,0.89 ± 0.05,0.86 ± 0.03,0.86 ± 0.03
