Series,N_LEVELS,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,use_approx_in_fusion
WF_depth_withApprox,1,42,42,0.9485015869140625,0.668749988079071,0.63984420351909,1.047426700592041,0.6312500238418579,0.5948834573228707,75.36307001113892,4.702451601624489,952.6945473404465,19708,multilevel_details,True
WF_depth_withApprox,1,43,43,0.9409918785095215,0.6151785850524902,0.5540097767774416,1.0606601238250732,0.6043750047683716,0.5320047596475828,145.3381061553955,4.839204406738281,925.7720119782268,19708,multilevel_details,True
WF_depth_withApprox,1,44,44,0.9600145816802979,0.6267856955528259,0.587511522861565,1.0376241207122803,0.6037499904632568,0.5533784199540751,118.63403272628784,4.389414893256293,1020.6371712281921,19708,multilevel_details,True
WF_depth_withApprox,1,45,45,0.9652228355407715,0.6357142925262451,0.5873933788513023,1.054075837135315,0.6018750071525574,0.555119731272984,75.15100336074829,4.169664515389337,1074.4269673172223,19708,multilevel_details,True
WF_depth_withApprox,1,46,46,0.9318765997886658,0.6446428298950195,0.5672999372408056,1.0544958114624023,0.5924999713897705,0.5249526337766562,88.4103364944458,4.2054542019253685,1065.2832690340408,19708,multilevel_details,True
WF_depth_withApprox,2,42,42,0.8396698832511902,0.6955357193946838,0.6142977714740131,0.9202514886856079,0.6737499833106995,0.6065345285800383,154.6850471496582,5.151523145039876,869.6457094080127,58616,multilevel_details,True
WF_depth_withApprox,2,43,43,0.858596920967102,0.6910714507102966,0.6552302567294275,0.9545093774795532,0.6568750143051147,0.6061494010987304,81.28878974914551,5.412789042790731,827.6694259804733,58616,multilevel_details,True
WF_depth_withApprox,2,44,44,0.8261666297912598,0.6937500238418579,0.6494297588900377,0.8818013668060303,0.675000011920929,0.6203649519316091,100.34257507324219,5.275818473414371,849.157343562024,58616,multilevel_details,True
WF_depth_withApprox,2,45,45,0.8324486017227173,0.6964285969734192,0.6191844180964103,0.9228725433349609,0.6587499976158142,0.5900648909614734,131.04669857025146,5.236756534576416,855.4913657757764,58616,multilevel_details,True
WF_depth_withApprox,2,46,46,0.7225584387779236,0.7553571462631226,0.6780605756201726,0.8553202152252197,0.6981250047683716,0.635196124751392,167.22915148735046,5.569490440686544,804.382384297217,58616,multilevel_details,True
WF_depth_withApprox,3,42,42,0.7022684812545776,0.7669642567634583,0.7223690035749224,0.8149479031562805,0.7262499928474426,0.6832180239698928,118.96682095527649,6.255436094183671,716.1770870244396,101812,multilevel_details,True
WF_depth_withApprox,3,43,43,0.7483065128326416,0.7330357432365417,0.6591743739682049,0.8573930263519287,0.7124999761581421,0.648848945813211,155.70507168769836,5.982986110907334,748.7899715883842,101812,multilevel_details,True
WF_depth_withApprox,3,44,44,0.7496751546859741,0.737500011920929,0.6792112596194501,0.8431202173233032,0.7137500047683716,0.6594106989342079,112.92821288108826,5.937466119465075,754.5306212886007,101812,multilevel_details,True
WF_depth_withApprox,3,45,45,0.7127249240875244,0.7732142806053162,0.7278119705703594,0.8463529348373413,0.7268750071525574,0.6894584204423239,166.73598170280457,5.744264158709296,779.9084227711825,101812,multilevel_details,True
WF_depth_withApprox,3,46,46,0.6950576901435852,0.8008928298950195,0.7761886970511608,0.8516355752944946,0.7243750095367432,0.6989715297125324,107.1390688419342,5.946430789099799,753.3931124216792,101812,multilevel_details,True
WF_depth_withApprox,4,42,42,0.6410192847251892,0.8330357074737549,0.8203016585753826,0.794110894203186,0.7574999928474426,0.7380406561989336,170.44180178642273,6.549683616711543,684.0025048796651,143862,multilevel_details,True
WF_depth_withApprox,4,43,43,0.6304643750190735,0.8473214507102966,0.8437740118023777,0.8210408091545105,0.7743750214576721,0.7615900683158285,127.32300066947937,6.694617133391531,669.1943558138039,143862,multilevel_details,True
WF_depth_withApprox,4,44,44,0.6786923408508301,0.8053571581840515,0.7993128657335574,0.8201081156730652,0.7643749713897705,0.7500013412690552,140.82296657562256,6.699503875914074,668.7062330251661,143862,multilevel_details,True
WF_depth_withApprox,4,45,45,0.6317326426506042,0.8330357074737549,0.8089244177182237,0.7907611131668091,0.7743750214576721,0.751422851590211,196.27085423469543,6.537046853701273,685.3247498850992,143862,multilevel_details,True
WF_depth_withApprox,4,46,46,0.6561886668205261,0.8348214030265808,0.8158906648646611,0.8324549794197083,0.7549999952316284,0.7368671681911219,136.82165956497192,6.834578883647919,655.4902761776048,143862,multilevel_details,True
WF_depth_withApprox,5,42,42,0.6314652562141418,0.8535714149475098,0.8432316849095729,0.8234173059463501,0.7756249904632568,0.7574448700114156,183.06452417373657,7.621233483155568,587.8313543210145,185912,multilevel_details,True
WF_depth_withApprox,5,43,43,0.6060845851898193,0.8723214268684387,0.8685293780286071,0.74750155210495,0.831250011920929,0.8245471531121407,227.37445259094238,7.572493807474772,591.6148779914239,185912,multilevel_details,True
WF_depth_withApprox,5,44,44,0.5683597922325134,0.8714285492897034,0.866863208997092,0.7375810146331787,0.8243749737739563,0.8172769193832192,297.1461851596832,9.8954683303833,452.7324882890578,185912,multilevel_details,True
WF_depth_withApprox,5,45,45,0.5096408724784851,0.9160714149475098,0.9149605296363762,0.6698856353759766,0.8575000166893005,0.8534580656116952,240.04978704452515,9.99383427699407,448.27639480804834,185912,multilevel_details,True
WF_depth_withApprox,5,46,46,0.5321822762489319,0.8919642567634583,0.8850068792470339,0.7034693360328674,0.840624988079071,0.8334897108658118,221.76783227920532,7.386480100949606,606.5135137132572,185912,multilevel_details,True
WF_depth_withApprox,6,42,42,0.5579195618629456,0.9098214507102966,0.9070752106775418,0.7526503801345825,0.8418750166893005,0.8365984642807435,247.03236317634583,8.228069965044657,544.477625862736,226888,multilevel_details,True
WF_depth_withApprox,6,43,43,0.5044991374015808,0.9214285612106323,0.9199912567132114,0.6743852496147156,0.8656250238418579,0.8619043529810408,188.24262070655823,8.549527569250627,524.005562145076,226888,multilevel_details,True
WF_depth_withApprox,6,44,44,0.4909575879573822,0.9321428537368774,0.9307170288100821,0.6595895290374756,0.8831250071525574,0.8803604385842397,254.84169459342957,8.488329887390137,527.7834461470774,226888,multilevel_details,True
WF_depth_withApprox,6,45,45,0.4405623972415924,0.9508928656578064,0.9503096274031438,0.6124209761619568,0.9037500023841858,0.9015463615415947,258.9585928916931,8.626103170712788,519.3538624961532,226888,multilevel_details,True
WF_depth_withApprox,6,46,46,0.44737690687179565,0.9526785612106323,0.9513432453590797,0.640378475189209,0.8918750286102295,0.8890062862868564,256.9002420902252,8.557434630393981,523.521381523395,226888,multilevel_details,True
WF_depth_withApprox,7,42,42,0.5246597528457642,0.9303571581840515,0.9275764465733984,0.6768347024917603,0.8762500286102295,0.8726705641433781,275.57708644866943,9.179119658470153,488.06423346557216,267864,multilevel_details,True
WF_depth_withApprox,7,43,43,0.45741981267929077,0.9553571343421936,0.9546145106126384,0.6370261907577515,0.9012500047683716,0.8986583871426993,282.3020131587982,9.403279654184978,476.42951871649944,267864,multilevel_details,True
WF_depth_withApprox,7,44,44,0.465112566947937,0.9553571343421936,0.9547485636801553,0.6230568885803223,0.8993750214576721,0.8970206307412462,339.26892852783203,11.301139918963115,396.42018700101556,267864,multilevel_details,True
WF_depth_withApprox,7,45,45,0.4861076772212982,0.949999988079071,0.9486149939282736,0.6388583183288574,0.8962500095367432,0.8935948362677425,284.1704750061035,9.46562373638153,473.2915785339035,267864,multilevel_details,True
WF_depth_withApprox,7,46,46,0.4456833004951477,0.9580357074737549,0.9569476600453934,0.6162167191505432,0.8999999761581421,0.8974642211076653,279.1349284648895,9.297490564982096,481.85044864400214,267864,multilevel_details,True
WF_depth_withApprox,8,42,42,0.5657247304916382,0.9116071462631226,0.9069916020275203,0.7431371212005615,0.8418750166893005,0.8352335646470883,353.2507884502411,11.765586360295613,380.77150282269815,308840,multilevel_details,True
WF_depth_withApprox,8,43,43,0.5168793201446533,0.9366071224212646,0.9357472267744937,0.6857312917709351,0.8799999952316284,0.8766471561797484,472.30031967163086,15.733883635203044,284.7358035606945,308840,multilevel_details,True
WF_depth_withApprox,8,44,44,0.5578605532646179,0.9107142686843872,0.9093818782484251,0.7168644666671753,0.8550000190734863,0.850343424081079,465.5805082321167,15.50974199771881,288.85071077642186,308840,multilevel_details,True
WF_depth_withApprox,8,45,45,0.5124819278717041,0.9366071224212646,0.9354927264059194,0.659657895565033,0.878125011920929,0.8747093640408933,445.63729667663574,14.845699659983318,301.77089006292306,308840,multilevel_details,True
WF_depth_withApprox,8,46,46,0.6157078742980957,0.8964285850524902,0.8892820597684856,0.8455548286437988,0.8056250214576721,0.7956107792008175,341.6060461997986,12.641713124734384,354.3823495910986,308840,multilevel_details,True
