Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,Num Classes
A3_subband_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.39037659764289856,0.939708948135376,0.9395825482832851,0.39741387963294983,0.9317803382873535,0.931671403812825,138.09374904632568,4.596662179629008,417.69438887827107,308582,multilevel_details,2
A3_subband_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.46504414081573486,0.8960499167442322,0.895721322279649,0.42293307185173035,0.9284525513648987,0.9284240438490321,138.62709665298462,4.61413520971934,416.11264359043054,308582,multilevel_details,2
A3_subband_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.5150168538093567,0.8752598762512207,0.8752334509234281,0.5172011256217957,0.8702163100242615,0.8700576560594301,98.3594741821289,4.909267842769623,391.09701517463117,308582,multilevel_details,2
A3_subband_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.42265453934669495,0.9293139576911926,0.9293062904174015,0.4413835108280182,0.9101497530937195,0.9101475115727923,140.58784866333008,4.646639211972555,413.20186750305857,308582,multilevel_details,2
A3_subband_br35h,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.4711742401123047,0.9022868871688843,0.9018525030715864,0.485245019197464,0.8885191082954407,0.8880716705998772,138.5673885345459,4.611677114168803,416.3344380943409,308582,multilevel_details,2
A3_subband_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.35514602065086365,0.9542619585990906,0.954257011446554,0.3902387320995331,0.9367720484733582,0.9367676700555962,145.0852746963501,4.829528148969015,397.55436572201626,308582,multilevel_details,2
A3_subband_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.4671036899089813,0.8981289267539978,0.8979860368685535,0.4078892469406128,0.9301164746284485,0.9301007975188302,139.63401794433594,4.647826329867045,413.0963301408302,308582,multilevel_details,2
A3_subband_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.3995804488658905,0.9251559376716614,0.9249844042420462,0.39207297563552856,0.9467554092407227,0.9467375650825302,138.4442367553711,4.607706236839294,416.6932311459692,308582,multilevel_details,2
A3_subband_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.4045601487159729,0.9334719181060791,0.9334486336907644,0.38689401745796204,0.9484192728996277,0.9484170162105292,137.73250222206116,4.584667364756267,418.78719812033137,308582,multilevel_details,2
A3_subband_br35h,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.3936596214771271,0.9355509281158447,0.9354962905284105,0.37954026460647583,0.9500831961631775,0.950079739517576,138.09401082992554,4.596849004427592,417.6774129736902,308582,multilevel_details,2
A3_subband_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.3536708652973175,0.9646569490432739,0.9646563536007122,0.39201679825782776,0.9450914859771729,0.9450525703362007,143.69219517707825,4.783281199137369,401.39810311512906,308582,multilevel_details,2
A3_subband_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.367855429649353,0.952182948589325,0.9521821254597873,0.3287232518196106,0.9750415682792664,0.9750371742579687,141.95891904830933,4.725056989987691,406.344305278951,308582,multilevel_details,2
A3_subband_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.36274591088294983,0.9584199786186218,0.9584111503078093,0.36963793635368347,0.9584026336669922,0.9584026622296173,145.62854647636414,4.8475391387939455,396.0772559079721,308582,multilevel_details,2
A3_subband_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.316428542137146,0.9812889695167542,0.9812838039403884,0.3534257411956787,0.9667221307754517,0.9667013873498516,140.7864031791687,4.686230619748433,409.7109501843231,308582,multilevel_details,2
A3_subband_br35h,HL_only,"{'LH': 0.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.35949891805648804,0.9625779390335083,0.9625765067948407,0.3530234396457672,0.9700499176979065,0.9700478437105455,140.84986519813538,4.6886565287907915,409.498965899976,308582,multilevel_details,2
A3_subband_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.3268515467643738,0.9771309494972229,0.977127418134659,0.3319498300552368,0.9717137813568115,0.9717109908213697,139.75865387916565,4.651770885785421,412.7460373998666,308582,multilevel_details,2
A3_subband_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.4851266145706177,0.8918918967247009,0.8918689908003044,0.4311494529247284,0.921796977519989,0.921726793339559,138.45783615112305,4.608564813931783,416.61560106430574,308582,multilevel_details,2
A3_subband_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.37350550293922424,0.9501039385795593,0.9500674763832658,0.39896291494369507,0.9384359121322632,0.9383020223796324,140.85585522651672,4.68839545249939,409.5217691111029,308582,multilevel_details,2
A3_subband_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.35969212651252747,0.9584199786186218,0.9583982010032867,0.3886260390281677,0.9450914859771729,0.9450422166001158,139.7949345111847,4.65276841322581,412.65754696543024,308582,multilevel_details,2
A3_subband_br35h,LH_HH,"{'LH': 1.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.45141732692718506,0.9126819372177124,0.9126785158546284,0.4457279145717621,0.9101497530937195,0.9101196410767697,140.96468949317932,4.692341780662536,409.1773553052875,308582,multilevel_details,2
A3_subband_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",42,42,0.33914002776145935,0.9688149690628052,0.9688149688149689,0.3724209666252136,0.9550748467445374,0.9550669136643435,142.44024658203125,4.741506338119507,404.93460581589704,308582,multilevel_details,2
A3_subband_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",43,43,0.3620491325855255,0.9501039385795593,0.9500864752680733,0.35059496760368347,0.9683859944343567,0.9683856731921916,143.89089179039001,4.788754423459371,400.9393320722849,308582,multilevel_details,2
A3_subband_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",44,44,0.3598509132862091,0.9604989886283875,0.9604962285763686,0.3697100579738617,0.9550748467445374,0.9550703971868814,140.4169065952301,4.673206273714701,410.8528251362216,308582,multilevel_details,2
A3_subband_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",45,45,0.3758481740951538,0.9438669681549072,0.9438659733658372,0.38013339042663574,0.9434276223182678,0.9434149313247674,138.95557045936584,4.62531988620758,415.10642447138025,308582,multilevel_details,2
A3_subband_br35h,LH_HL,"{'LH': 1.0, 'HL': 1.0, 'HH': 0.0}",46,46,0.38719552755355835,0.9417879581451416,0.9417756104309332,0.387347936630249,0.9467554092407227,0.9467517221520809,137.67674446105957,4.582695627212525,418.9673843051761,308582,multilevel_details,2
A3_subband_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.3443513810634613,0.9688149690628052,0.9688014840375161,0.4017026722431183,0.9434276223182678,0.9433823203440174,138.36815667152405,4.605268756548564,416.91377886899943,308582,multilevel_details,2
A3_subband_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.357198566198349,0.952182948589325,0.9521796451187621,0.34744346141815186,0.9650582075119019,0.9650547533675744,138.98798370361328,4.626439619064331,415.0059566514581,308582,multilevel_details,2
A3_subband_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.40349045395851135,0.9313929080963135,0.9313739477814238,0.39023464918136597,0.9467554092407227,0.9467552602436323,139.13666486740112,4.630904801686605,414.6058021535497,308582,multilevel_details,2
A3_subband_br35h,LH_HL_HH,"{'LH': 1.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.34410539269447327,0.9729729890823364,0.972972972972973,0.36916670203208923,0.9550748467445374,0.9550748752079867,139.36806559562683,4.638640236854553,413.9144020580362,308582,multilevel_details,2
