epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5385416746139526,0.930217444896698,0.5966736078262329,0.8580020070075989,0.0003000000142492354
1,0.5484374761581421,0.901565670967102,0.7318087220191956,0.8459075689315796,0.0003000000142492354
2,0.5953124761581421,0.8488280177116394,0.7713097929954529,0.8308042287826538,0.0003000000142492354
3,0.6421874761581421,0.806114912033081,0.7796257734298706,0.8021121621131897,0.0003000000142492354
4,0.6739583611488342,0.7856151461601257,0.7214137315750122,0.778351902961731,0.0003000000142492354
5,0.6927083134651184,0.7799437046051025,0.765072762966156,0.723295271396637,0.0003000000142492354
6,0.6916666626930237,0.7647083401679993,0.790020763874054,0.66413414478302,0.0003000000142492354
7,0.7354166507720947,0.7299797534942627,0.8336798548698425,0.621450662612915,0.0003000000142492354
8,0.7463541626930237,0.7027645707130432,0.8482328653335571,0.5670284032821655,0.0003000000142492354
9,0.7671874761581421,0.6794731020927429,0.8149688243865967,0.5674484372138977,0.0003000000142492354
10,0.7729166746139526,0.6700437068939209,0.8503118753433228,0.554425835609436,0.0003000000142492354
11,0.8005208373069763,0.6430961489677429,0.8586278557777405,0.5336153507232666,0.0003000000142492354
12,0.8166666626930237,0.6214691400527954,0.7983368039131165,0.6134453415870667,0.0003000000142492354
13,0.8182291388511658,0.6131007671356201,0.8440748453140259,0.5250563621520996,0.0003000000142492354
14,0.8343750238418579,0.5918475985527039,0.8232848048210144,0.5879122018814087,0.0003000000142492354
15,0.8453124761581421,0.5810472369194031,0.885654866695404,0.4717414975166321,0.0003000000142492354
16,0.8479166626930237,0.5740035772323608,0.885654866695404,0.482096791267395,0.0003000000142492354
17,0.8609374761581421,0.5489832758903503,0.879417896270752,0.48083505034446716,0.0003000000142492354
18,0.8661458492279053,0.5352185368537903,0.9147608876228333,0.44004034996032715,0.0003000000142492354
19,0.878125011920929,0.5266185998916626,0.9189189076423645,0.424100399017334,0.0003000000142492354
20,0.8770833611488342,0.5141777396202087,0.8565488457679749,0.5516625642776489,0.0003000000142492354
21,0.8973958492279053,0.4878901541233063,0.9334719181060791,0.4123179614543915,0.0003000000142492354
22,0.8979166746139526,0.47747495770454407,0.9002078771591187,0.4498641788959503,0.0003000000142492354
23,0.9145833253860474,0.47349563241004944,0.9334719181060791,0.40640801191329956,0.0003000000142492354
24,0.910937488079071,0.4621032774448395,0.9293139576911926,0.4067845344543457,0.0003000000142492354
25,0.9151041507720947,0.45782047510147095,0.9209979176521301,0.4296836853027344,0.0003000000142492354
26,0.921875,0.4438610374927521,0.927234947681427,0.4004310369491577,0.0003000000142492354
27,0.9270833134651184,0.4353730380535126,0.9251559376716614,0.41169872879981995,0.0003000000142492354
28,0.9369791746139526,0.41680946946144104,0.939708948135376,0.39037659764289856,0.0003000000142492354
29,0.9442708492279053,0.40751782059669495,0.8918918967247009,0.4618181586265564,0.0003000000142492354
