RUN_SEED,SPLIT_SEED,Parameters,FLOPs (M),Inference Latency (ms/img),Inference Throughput (img/s),Avg Epoch Time (s),Train FPS (img/s),Train Time (s),Full Test Inference Time (s)
42,42,308840,819.128267,4.943985344531636,202.2659717440433,10.546241076787313,424.7959028606557,316.62425327301025,8.031720571219921
43,43,308840,819.128267,4.9535743581751985,201.87442999611716,10.553021891911824,424.52295142433246,316.80550384521484,8.034405261278152
44,44,308840,819.128267,4.987029001737634,200.52018940567004,10.489175264040629,427.10698288725314,314.91181802749634,8.081157259643078
45,45,308840,819.128267,4.9769592549030985,200.92589647279925,10.44836368560791,428.77527379440016,313.67044830322266,8.167679868638515
46,46,308840,819.128267,4.887640507270892,204.59769872853622,10.489273460706075,427.1029844709982,314.8769459724426,7.7731732949614525
