Series,N_LEVELS,Val Loss (mean),Val Loss (std),Val Acc (mean),Val Acc (std),Val Macro-F1 (mean),Val Macro-F1 (std),Test Loss (mean),Test Loss (std),Test Acc (mean),Test Acc (std),Test Macro-F1 (mean),Test Macro-F1 (std),use_approx_in_fusion,Num Classes
WF_depth_withApprox_br35h,1,0.47743314504623413,0.06492302566766739,0.8133055567741394,0.04721212759613991,0.8129886388778687,0.04731273278594017,0.4793640077114105,0.03345053270459175,0.8079866170883179,0.024696338921785355,0.8075419664382935,0.024370577186346054,True,2
WF_depth_withApprox_br35h,2,0.4636705815792084,0.06639508157968521,0.8453222513198853,0.0389944389462471,0.8449435234069824,0.03918680176138878,0.4512259066104889,0.031497806310653687,0.8542429208755493,0.012758923694491386,0.853839099407196,0.013019859790802002,True,2
WF_depth_withApprox_br35h,3,0.4477253556251526,0.0489966906607151,0.8632017374038696,0.028483085334300995,0.8629572987556458,0.028584102168679237,0.4334712028503418,0.01341656967997551,0.8792012929916382,0.01203305646777153,0.8790895342826843,0.012087647803127766,True,2
WF_depth_withApprox_br35h,4,0.46865254640579224,0.039321113377809525,0.8594595193862915,0.030077338218688965,0.8591762781143188,0.03013293258845806,0.458932489156723,0.017753230407834053,0.8735440969467163,0.01245144847780466,0.8733848333358765,0.01247167494148016,True,2
WF_depth_withApprox_br35h,5,0.4518972337245941,0.08207308501005173,0.8756756782531738,0.05665803328156471,0.8745219111442566,0.057997144758701324,0.4521408677101135,0.0770033597946167,0.8868552446365356,0.0438334085047245,0.8861714601516724,0.04489053785800934,True,2
WF_depth_withApprox_br35h,6,0.33993545174598694,0.047359269112348557,0.9538461565971375,0.02659985050559044,0.9538156390190125,0.026627948507666588,0.34386375546455383,0.032822445034980774,0.9574043154716492,0.022280018776655197,0.9573993682861328,0.02228359319269657,True,2
WF_depth_withApprox_br35h,7,0.33729034662246704,0.02779737301170826,0.9704781770706177,0.01633044146001339,0.9704745411872864,0.016332579776644707,0.34357428550720215,0.018573326990008354,0.9670548439025879,0.011124455370008945,0.96705162525177,0.011127211153507233,True,2
WF_depth_withApprox_br35h,8,0.3824613690376282,0.04600550979375839,0.9434511065483093,0.02930580824613571,0.9433991312980652,0.029381897300481796,0.3801347613334656,0.0263111162930727,0.9484192728996277,0.015475110150873661,0.9484022855758667,0.015478095971047878,True,2
