Series,N_LEVELS,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,use_approx_in_fusion,Num Classes
WF_depth_withApprox_br35h,1,42,42,0.3849986493587494,0.879417896270752,0.8790367338443927,0.43351098895072937,0.8386023044586182,0.8371887785737226,61.56881022453308,2.047149674097697,937.8894099896534,19450,multilevel_details,True,2
WF_depth_withApprox_br35h,1,43,43,0.5236096382141113,0.7754677534103394,0.7754590407690445,0.5154010057449341,0.780366063117981,0.7803362573099415,38.567485094070435,2.137578090031942,898.2127993140637,19450,multilevel_details,True,2
WF_depth_withApprox_br35h,1,44,44,0.5444318056106567,0.7692307829856873,0.7683295655230169,0.5024549961090088,0.7920132875442505,0.791493778812715,30.007173776626587,2.1382510662078857,897.930102943923,19450,multilevel_details,True,2
WF_depth_withApprox_br35h,1,45,45,0.49426284432411194,0.7983368039131165,0.7980539913520346,0.4877810776233673,0.80033278465271,0.8000887016298925,37.57549428939819,1.972504264429996,973.3819260232787,19450,multilevel_details,True,2
WF_depth_withApprox_br35h,1,46,46,0.43986278772354126,0.8440748453140259,0.8440640601698761,0.4576719105243683,0.8286189436912537,0.8286018855647695,60.4849750995636,2.0107436895370485,954.8705834516675,19450,multilevel_details,True,2
WF_depth_withApprox_br35h,2,42,42,0.3681011199951172,0.9002078771591187,0.9001556824078879,0.41066402196884155,0.8752079606056213,0.874896267287629,76.65907764434814,2.550471639633179,752.8019406936608,58358,multilevel_details,True,2
WF_depth_withApprox_br35h,2,43,43,0.49644529819488525,0.8316008448600769,0.8315746244461256,0.4585633873939514,0.8469218015670776,0.8467992197544,42.929462909698486,2.676528498530388,717.3471162568312,58358,multilevel_details,True,2
WF_depth_withApprox_br35h,2,44,44,0.5356394648551941,0.8024948239326477,0.8024948024948025,0.465039998292923,0.8519134521484375,0.8518724678137142,39.660587310791016,2.825945053781782,679.4187301803998,58358,multilevel_details,True,2
WF_depth_withApprox_br35h,2,45,45,0.4922792613506317,0.8232848048210144,0.8216536892843901,0.49167296290397644,0.841930091381073,0.8404441128223186,52.594130992889404,2.4989011741819835,768.3377077240812,58358,multilevel_details,True,2
WF_depth_withApprox_br35h,2,46,46,0.42588773369789124,0.8690228462219238,0.8688391902595688,0.4301890730857849,0.8552412390708923,0.8551835305782743,75.15753722190857,2.5000300645828246,767.9907642712236,58358,multilevel_details,True,2
WF_depth_withApprox_br35h,3,42,42,0.3664630055427551,0.9064449071884155,0.9063866411206789,0.4252888262271881,0.8885191082954407,0.8884190458244776,59.619272232055664,3.3061091105143228,580.7430837336492,101554,multilevel_details,True,2
WF_depth_withApprox_br35h,3,43,43,0.4889044463634491,0.8482328653335571,0.8477168147733729,0.41808685660362244,0.8951746821403503,0.895156131883468,57.768044233322144,2.8820765733718874,666.1863247282479,101554,multilevel_details,True,2
WF_depth_withApprox_br35h,3,44,44,0.4825347363948822,0.8295218348503113,0.8293086137654064,0.4331667125225067,0.8668885231018066,0.8667553486309723,48.9192271232605,3.253819402058919,590.0757733465729,101554,multilevel_details,True,2
WF_depth_withApprox_br35h,3,45,45,0.4565998911857605,0.866943895816803,0.866846603688709,0.45351168513298035,0.8735440969467163,0.8735157288435977,41.82044982910156,2.9807842118399486,644.1257949413392,101554,multilevel_details,True,2
WF_depth_withApprox_br35h,3,46,46,0.4441247284412384,0.8648648858070374,0.8645275906146414,0.437301903963089,0.8718801736831665,0.8716015060332891,49.5369348526001,2.907688659780166,660.3182887349295,101554,multilevel_details,True,2
WF_depth_withApprox_br35h,4,42,42,0.40203478932380676,0.9043658971786499,0.9042728090820988,0.44948217272758484,0.881863534450531,0.8818164444949135,59.24595355987549,3.2849941121207342,584.4759334318812,143604,multilevel_details,True,2
WF_depth_withApprox_br35h,4,43,43,0.4990898668766022,0.8565488457679749,0.8561908269601577,0.43239909410476685,0.8901830315589905,0.8900219590098484,62.23295307159424,3.268204400413915,587.4785554284285,143604,multilevel_details,True,2
WF_depth_withApprox_br35h,4,44,44,0.492958664894104,0.8357588648796082,0.8354145280820524,0.4676699936389923,0.861896812915802,0.8617728478124125,40.94453716278076,3.713103316046975,517.0876855761882,143604,multilevel_details,True,2
WF_depth_withApprox_br35h,4,45,45,0.4656746983528137,0.8711018562316895,0.8706944396267647,0.47570621967315674,0.8718801736831665,0.8716015060332891,62.323254346847534,3.2737058338366056,586.4913029616544,143604,multilevel_details,True,2
WF_depth_withApprox_br35h,4,46,46,0.4835048019886017,0.8295218348503113,0.8293086137654064,0.4694051742553711,0.861896812915802,0.8617115356359695,40.554784536361694,3.678075595335527,522.0121093853838,143604,multilevel_details,True,2
WF_depth_withApprox_br35h,5,42,42,0.38795703649520874,0.9209979176521301,0.9209975795297372,0.43340739607810974,0.8918468952178955,0.8918037872136533,67.3838255405426,3.7368681695726185,513.7992331743371,185654,multilevel_details,True,2
WF_depth_withApprox_br35h,5,43,43,0.4947972893714905,0.8295218348503113,0.8281484192547666,0.4485364854335785,0.8901830315589905,0.8900487858964408,67.6019196510315,3.748431841532389,512.2141954740969,185654,multilevel_details,True,2
WF_depth_withApprox_br35h,5,44,44,0.34825533628463745,0.9480249285697937,0.9480168593969522,0.3407089412212372,0.9484192728996277,0.9483987292865115,103.67468905448914,3.4504273970921835,556.4528039680135,185654,multilevel_details,True,2
WF_depth_withApprox_br35h,5,45,45,0.47887757420539856,0.8607068657875061,0.8604656197366656,0.48748302459716797,0.8785357475280762,0.8783080230219819,49.54671788215637,4.1197542150815325,466.04722023738543,185654,multilevel_details,True,2
WF_depth_withApprox_br35h,5,46,46,0.5495989322662354,0.8191268444061279,0.8149811873002117,0.5505684614181519,0.8252911567687988,0.8222980031933138,55.229456424713135,4.592864453792572,418.03977002076647,185654,multilevel_details,True,2
WF_depth_withApprox_br35h,6,42,42,0.28875330090522766,0.9833679795265198,0.983366185980565,0.32036349177360535,0.9683859944343567,0.9683804207267602,114.78146123886108,3.81873414516449,502.7844115388915,226630,multilevel_details,True,2
WF_depth_withApprox_br35h,6,43,43,0.3286738693714142,0.9604989886283875,0.9604654683883806,0.3324889540672302,0.9650582075119019,0.9650578493176853,116.58561658859253,3.880409558614095,494.7931322707431,226630,multilevel_details,True,2
WF_depth_withApprox_br35h,6,44,44,0.40489545464515686,0.9230769276618958,0.9230117015984254,0.39022359251976013,0.9267886877059937,0.9267787524366472,115.08837723731995,3.8303449312845865,501.2603393282619,226630,multilevel_details,True,2
WF_depth_withApprox_br35h,6,45,45,0.3070371747016907,0.9729729890823364,0.9729725056946623,0.3115467429161072,0.9833610653877258,0.9833599131725252,116.92072677612305,3.8914009888966876,493.3955676832907,226630,multilevel_details,True,2
WF_depth_withApprox_br35h,6,46,46,0.3703174591064453,0.9293139576911926,0.9292622582096266,0.3646959364414215,0.9434276223182678,0.9434199450646819,92.83720278739929,4.029631106749825,476.47041357803397,226630,multilevel_details,True,2
WF_depth_withApprox_br35h,7,42,42,0.3184095323085785,0.9792099595069885,0.9792055751539047,0.33954229950904846,0.9650582075119019,0.9650582362728786,128.03867149353027,4.261585028966268,450.5365930632937,267606,multilevel_details,True,2
WF_depth_withApprox_br35h,7,43,43,0.37521234154701233,0.9480249285697937,0.9480168593969522,0.35235586762428284,0.9567387700080872,0.9567242716295559,138.64645886421204,4.614076892534892,416.1179028261027,267606,multilevel_details,True,2
WF_depth_withApprox_br35h,7,44,44,0.34689536690711975,0.9646569490432739,0.964654520305172,0.36679795384407043,0.9567387700080872,0.9567386489479512,143.09088492393494,4.7626084089279175,403.14042960172736,267606,multilevel_details,True,2
WF_depth_withApprox_br35h,7,45,45,0.30304673314094543,0.9916840195655823,0.9916830929902826,0.3162476718425751,0.981697142124176,0.9816953470020627,146.1298279762268,4.864247759183248,394.7167362877885,267606,multilevel_details,True,2
WF_depth_withApprox_br35h,7,46,46,0.3428877890110016,0.9688149690628052,0.9688128120339752,0.3429275155067444,0.9750415682792664,0.9750413209412039,142.18416357040405,4.732446535428365,405.7098132279709,267606,multilevel_details,True,2
WF_depth_withApprox_br35h,8,42,42,0.3281859755516052,0.9688149690628052,0.9688063399006472,0.37355494499206543,0.9517470598220825,0.9517337254673901,148.76420879364014,4.952374696731567,387.6927974103308,308582,multilevel_details,True,2
