Ablation,Config,Mask,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE,N_LEVELS
A3_subband_L7,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",42,42,0.8519834280014038,0.7401785850524902,0.7192800218852982,1.038956642150879,0.6850000023841858,0.6561583110859374,117.31850242614746,11.715247535705567,382.40762615949166,267864,multilevel_details,7
A3_subband_L7,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",43,43,0.8383467793464661,0.7669642567634583,0.7444496693494033,0.9928387403488159,0.6949999928474426,0.6587989854924317,129.06224083900452,11.717981403524226,382.3184084122734,267864,multilevel_details,7
A3_subband_L7,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",44,44,0.8920664191246033,0.7535714507102966,0.7437050606386226,1.0252125263214111,0.6806250214576721,0.6629585450732516,119.53083562850952,11.933529996871949,375.4128075409632,267864,multilevel_details,7
A3_subband_L7,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",45,45,0.6528930068016052,0.8723214268684387,0.8595158437729631,0.8258437514305115,0.8149999976158142,0.8031477786727473,318.13857340812683,10.596146408716837,422.7952150901353,267864,multilevel_details,7
A3_subband_L7,HH_only,"{'LH': 0.0, 'HL': 0.0, 'HH': 1.0}",46,46,0.8276754021644592,0.7633928656578064,0.7152108186504745,1.0020278692245483,0.6862499713897705,0.6357891040956297,131.37115025520325,11.92729191346602,375.609151893234,267864,multilevel_details,7
A3_subband_L7,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",42,42,0.5269180536270142,0.9357143044471741,0.932914414847297,0.693227231502533,0.8768749833106995,0.8728724494360138,322.30678033828735,10.734023292859396,417.36447534823543,267864,multilevel_details,7
A3_subband_L7,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",43,43,0.5365684628486633,0.9205357432365417,0.9178052331398856,0.6961403489112854,0.8737499713897705,0.8702487261908345,333.7227590084076,11.116084003448487,403.0196244118155,267864,multilevel_details,7
A3_subband_L7,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",44,44,0.45800018310546875,0.9517857432365417,0.9519983003366972,0.6010268330574036,0.9125000238418579,0.9109789286607245,294.6423337459564,9.8142023007075,456.48131786289343,267864,multilevel_details,7
A3_subband_L7,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",45,45,0.4370725452899933,0.9696428775787354,0.9692451925733984,0.5986935496330261,0.9175000190734863,0.9155471842830183,297.66293716430664,9.914058375358582,451.88356073583867,267864,multilevel_details,7
A3_subband_L7,HL_HH,"{'LH': 0.0, 'HL': 1.0, 'HH': 1.0}",46,46,0.45489105582237244,0.956250011920929,0.9552784185764391,0.6308181881904602,0.9006249904632568,0.8981707804757688,340.3518569469452,11.335454964637757,395.22013134681146,267864,multilevel_details,7
