epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5494791865348816,0.8242624998092651,0.4989604949951172,0.8317670226097107,0.0003000000142492354
1,0.6666666865348816,0.7456581592559814,0.4989604949951172,1.368357539176941,0.0003000000142492354
2,0.7124999761581421,0.703413724899292,0.5738045573234558,0.769209623336792,0.0003000000142492354
3,0.7760416865348816,0.6359696984291077,0.7817047834396362,0.6253292560577393,0.0003000000142492354
4,0.776562511920929,0.6332237720489502,0.8212057948112488,0.5686824917793274,0.0003000000142492354
5,0.7880208492279053,0.599505603313446,0.8565488457679749,0.51385897397995,0.0003000000142492354
6,0.8343750238418579,0.5594639182090759,0.7983368039131165,0.6473910212516785,0.0003000000142492354
7,0.8401041626930237,0.5391684174537659,0.7879418134689331,0.6727544069290161,0.0003000000142492354
8,0.8348958492279053,0.530896008014679,0.8336798548698425,0.5397065877914429,0.0003000000142492354
9,0.8520833253860474,0.5018739104270935,0.8087317943572998,0.6029157042503357,0.0001500000071246177
10,0.8713541626930237,0.4848257005214691,0.8399168252944946,0.539180338382721,0.0001500000071246177
11,0.8765624761581421,0.480877548456192,0.8295218348503113,0.4947972893714905,0.0001500000071246177
12,0.8760416507720947,0.4754103720188141,0.7962577939033508,0.6310014128684998,0.0001500000071246177
13,0.8770833611488342,0.46443381905555725,0.8295218348503113,0.561391294002533,0.0001500000071246177
14,0.879687488079071,0.4753882586956024,0.8108108043670654,0.5741798281669617,0.0001500000071246177
15,0.8979166746139526,0.4465383291244507,0.82536381483078,0.5488348007202148,7.500000356230885e-05
16,0.8927083611488342,0.44756221771240234,0.8399168252944946,0.5277888774871826,7.500000356230885e-05
17,0.895312488079071,0.4410790801048279,0.8399168252944946,0.5225284099578857,7.500000356230885e-05
