Config,Metric,Mean,Std
Coarse_L5_6,Val Loss,0.3529017746448517,0.05880465363019126
Coarse_L5_6,Val Acc,0.9484407544136048,0.03340666354586526
Coarse_L5_6,Val Macro-F1,0.948413873048227,0.03344469378677598
Coarse_L5_6,Test Loss,0.35250084400177,0.05249389465336843
Coarse_L5_6,Test Acc,0.9480865001678467,0.032951816861988656
Coarse_L5_6,Test Macro-F1,0.9480712218241634,0.03298143518783217
Early_L1_2,Val Loss,0.3394338428974152,0.03499890846893185
Early_L1_2,Val Acc,0.9571725487709045,0.02270782394365294
Early_L1_2,Val Macro-F1,0.9571459708090158,0.0227422526506493
Early_L1_2,Test Loss,0.3449494540691376,0.017767835820521667
Early_L1_2,Test Acc,0.9550748586654663,0.012834647120436957
Early_L1_2,Test Macro-F1,0.9550718898196179,0.01283657902992074
Full_L1_6,Val Loss,0.3313301086425781,0.042632976772590536
Full_L1_6,Val Acc,0.9575883626937867,0.02701104538314619
Full_L1_6,Val Macro-F1,0.9575572049613331,0.027061862776785954
Full_L1_6,Test Loss,0.33851468563079834,0.027654879942050868
Full_L1_6,Test Acc,0.9594009757041931,0.020835230103080443
Full_L1_6,Test Macro-F1,0.959380331202647,0.02086905625644273
Middle_L3_4,Val Loss,0.36105014085769654,0.07068626658595417
Middle_L3_4,Val Acc,0.9409563422203064,0.03973559080827929
Middle_L3_4,Val Macro-F1,0.9408874939966301,0.03982577115503301
Middle_L3_4,Test Loss,0.37668692469596865,0.0758200522690239
Middle_L3_4,Test Acc,0.9374376058578491,0.03933269584501194
Middle_L3_4,Test Macro-F1,0.9374097411789833,0.03937491876729275
