Config,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Parameters
Early_L1_2,42,42,0.2910173237323761,0.9916840195655823,0.9916839557399724,0.3286116123199463,0.9584026336669922,0.9584022015686731,218054
Early_L1_2,43,43,0.3827115297317505,0.9313929080963135,0.9312741112135816,0.37199702858924866,0.9367720484733582,0.936763468013468,218054
Early_L1_2,44,44,0.35929831862449646,0.9459459185600281,0.9459457123098202,0.3525901734828949,0.9484192728996277,0.9484193011647255,218054
Early_L1_2,45,45,0.32259586453437805,0.9646569490432739,0.9646563536007122,0.3314419388771057,0.9700499176979065,0.9700478437105455,218054
Early_L1_2,46,46,0.3415461778640747,0.952182948589325,0.9521697211809924,0.3401065170764923,0.961730420589447,0.9617266346406768,218054
Middle_L3_4,42,42,0.3155553638935089,0.9729729890823364,0.9729687668864152,0.34589052200317383,0.9467554092407227,0.9467222197597625,217958
Middle_L3_4,43,43,0.345761775970459,0.9376299381256104,0.9375324675324674,0.349055677652359,0.9534109830856323,0.9534108527131784,217958
Middle_L3_4,44,44,0.37419766187667847,0.9355509281158447,0.9355409056522209,0.37741217017173767,0.9434276223182678,0.9434262109902767,217958
Middle_L3_4,45,45,0.2943824529647827,0.9792099595069885,0.9792077324757062,0.3064989745616913,0.9733777046203613,0.9733770404660125,217958
Middle_L3_4,46,46,0.4753534495830536,0.879417896270752,0.8791875974363416,0.5045772790908813,0.8702163100242615,0.8701123819656869,217958
Coarse_L5_6,42,42,0.29432550072669983,0.9854469895362854,0.9854467338355875,0.31735631823539734,0.9667221307754517,0.9667220376522703,217894
Coarse_L5_6,43,43,0.3264177739620209,0.9584199786186218,0.9584053960567278,0.3185364305973053,0.961730420589447,0.9617300254431792,217894
Coarse_L5_6,44,44,0.38169384002685547,0.927234947681427,0.9272236031557333,0.3788691461086273,0.9384359121322632,0.9384352583216361,217894
Coarse_L5_6,45,45,0.3206731081008911,0.9688149690628052,0.9688149688149689,0.31460461020469666,0.9783693552017212,0.9783684261528025,217894
Coarse_L5_6,46,46,0.44139865040779114,0.9022868871688843,0.9021786633781181,0.4331377148628235,0.8951746821403503,0.8951003615509288,217894
Full_L1_6,42,42,0.28198307752609253,0.9916840195655823,0.9916839557399724,0.3247022032737732,0.9717137813568115,0.9717059769981251,226630
Full_L1_6,43,43,0.33001020550727844,0.9501039385795593,0.950103734439834,0.32675275206565857,0.961730420589447,0.9617266346406768,226630
Full_L1_6,44,44,0.33995646238327026,0.9501039385795593,0.9501020090597877,0.34784865379333496,0.9550748467445374,0.9550728850865899,226630
Full_L1_6,45,45,0.308331698179245,0.975051999092102,0.9750492789708476,0.3112015724182129,0.981697142124176,0.9816969686902162,226630
Full_L1_6,46,46,0.3963690996170044,0.9209979176521301,0.9208470465962237,0.3820682466030121,0.9267886877059937,0.9266991905976272,226630
