Subband Configuration,L6 Test Accuracy,L6 Macro-F1,L7 Test Accuracy,L7 Macro-F1,L8 Test Accuracy,L8 Test Macro-F1
LH,0.96 ± 0.01,0.96 ± 0.01,0.96 ± 0.02,0.96 ± 0.02,0.95 ± 0.01,0.95 ± 0.01
HL,0.95 ± 0.04,0.95 ± 0.04,0.98 ± 0.01,0.98 ± 0.01,0.96 ± 0.01,0.96 ± 0.01
HH,0.95 ± 0.02,0.95 ± 0.02,0.94 ± 0.03,0.94 ± 0.03,0.91 ± 0.03,0.91 ± 0.03
LH+HL,0.95 ± 0.04,0.95 ± 0.04,0.97 ± 0.01,0.97 ± 0.01,0.95 ± 0.01,0.95 ± 0.01
LH+HH,0.95 ± 0.01,0.95 ± 0.01,0.96 ± 0.01,0.96 ± 0.01,0.94 ± 0.02,0.94 ± 0.02
HL+HH,0.96 ± 0.01,0.96 ± 0.01,0.97 ± 0.01,0.97 ± 0.01,0.94 ± 0.01,0.94 ± 0.01
LH+HL+HH,0.96 ± 0.01,0.96 ± 0.01,0.96 ± 0.01,0.96 ± 0.01,0.95 ± 0.01,0.95 ± 0.01
