Ablation,Config,SelectedLevels,RUN_SEED,SPLIT_SEED,Val Loss,Val Acc,Val Macro-F1,Test Loss,Test Acc,Test Macro-F1,Train Time (s),Avg Epoch Time (s),Train FPS (img/s),Parameters,HEAD_MODE
A2_scale_WF7,Coarse_L6_7,"[6, 7]",42,42,0.7155030965805054,0.7633928656578064,0.7490913368935405,0.8393391966819763,0.721875011920929,0.6978912975786088,285.18918442726135,9.500115529696147,471.57321255684656,267864,multilevel_details
A2_scale_WF7,Coarse_L6_7,"[6, 7]",43,43,0.7267839908599854,0.7616071701049805,0.7412680090240132,0.8703142404556274,0.7074999809265137,0.6774153867970123,281.03002882003784,9.361044009526571,478.57909816904845,267864,multilevel_details
A2_scale_WF7,Coarse_L6_7,"[6, 7]",44,44,0.7362706065177917,0.78125,0.7698077841383201,0.859631359577179,0.6974999904632568,0.6758667259400708,283.2740478515625,9.435823965072633,474.78630552912347,267864,multilevel_details
A2_scale_WF7,Coarse_L6_7,"[6, 7]",45,45,0.7336390614509583,0.7723214030265808,0.7575932978112594,0.8676931262016296,0.7037500143051147,0.6842720153764597,282.52576780319214,9.410237471262613,476.0772524265425,267864,multilevel_details
A2_scale_WF7,Coarse_L6_7,"[6, 7]",46,46,0.7028931975364685,0.7982142567634583,0.7795850529029069,0.8449838161468506,0.7225000262260437,0.6929754792927255,282.1711437702179,9.399348600705464,476.62877400501515,267864,multilevel_details
A2_scale_WF7,Early_L1_2,"[1, 2]",42,42,0.4317604601383209,0.9624999761581421,0.9617034988771764,0.6081017255783081,0.8962500095367432,0.895345429060322,289.70314264297485,9.649308196703593,464.28198878863276,267864,multilevel_details
A2_scale_WF7,Early_L1_2,"[1, 2]",43,43,0.44733935594558716,0.9508928656578064,0.9500540152076078,0.6120896339416504,0.8974999785423279,0.8951056497564571,280.30769753456116,9.336672035853068,479.8283566989053,267864,multilevel_details
A2_scale_WF7,Early_L1_2,"[1, 2]",44,44,0.4631063640117645,0.9428571462631226,0.9413721531302586,0.6190625429153442,0.8962500095367432,0.893709415747567,278.7344579696655,9.28456613222758,482.52120090453224,267864,multilevel_details
A2_scale_WF7,Early_L1_2,"[1, 2]",45,45,0.47000324726104736,0.9375,0.9360919145903,0.652315616607666,0.8737499713897705,0.8701858719094837,282.8779559135437,9.423083289464314,475.42825022134343,267864,multilevel_details
A2_scale_WF7,Early_L1_2,"[1, 2]",46,46,0.4124879539012909,0.9669643044471741,0.9662981855722814,0.5656009912490845,0.9175000190734863,0.9158329808373181,279.83051919937134,9.321205274264019,480.62454030160075,267864,multilevel_details
A2_scale_WF7,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",42,42,0.461694598197937,0.9616071581840515,0.9609384397684286,0.6452574729919434,0.8956249952316284,0.89322139588774,274.80555295944214,9.153851119677226,489.41149920711945,267864,multilevel_details
A2_scale_WF7,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",43,43,0.6024498343467712,0.8946428298950195,0.8924820921932956,0.8058662414550781,0.8081250190734863,0.8013892910630531,180.66841340065002,9.500439719149941,471.5571207688112,267864,multilevel_details
A2_scale_WF7,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",44,44,0.47257766127586365,0.9508928656578064,0.9504648504310155,0.6195013523101807,0.9075000286102295,0.905526119146247,278.3228180408478,9.270779983202617,483.2387359118808,267864,multilevel_details
A2_scale_WF7,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",45,45,0.44312843680381775,0.9642857313156128,0.9636090916007017,0.6103914976119995,0.9106249809265137,0.9087678738379913,276.8417692184448,9.221804364522297,485.8051442985768,267864,multilevel_details
A2_scale_WF7,Full_L1_7,"[1, 2, 3, 4, 5, 6, 7]",46,46,0.44890648126602173,0.9580357074737549,0.9568502172925013,0.5864089727401733,0.9181249737739563,0.9167465027676318,287.83788323402405,9.588380289077758,467.2321982371958,267864,multilevel_details
A2_scale_WF7,Middle_L3_5,"[3, 4, 5]",42,42,0.42954787611961365,0.9535714387893677,0.9521934275565647,0.6080793142318726,0.8812500238418579,0.8779001742061042,284.297749042511,9.469755323727926,473.0850847618705,267864,multilevel_details
A2_scale_WF7,Middle_L3_5,"[3, 4, 5]",43,43,0.4114266335964203,0.9571428298950195,0.9567661005322577,0.5904412269592285,0.8962500095367432,0.8930798665946783,279.7085678577423,9.316671856244405,480.8584083593462,267864,multilevel_details
A2_scale_WF7,Middle_L3_5,"[3, 4, 5]",44,44,0.4170057475566864,0.9482142925262451,0.9480221600999473,0.5561203360557556,0.9125000238418579,0.91055378704178,281.1468324661255,9.365292461713155,478.3619965222626,267864,multilevel_details
A2_scale_WF7,Middle_L3_5,"[3, 4, 5]",45,45,0.45016470551490784,0.9401785731315613,0.938696042611979,0.5991764664649963,0.8931249976158142,0.8909913484483214,274.2382843494415,9.135108009974163,490.41565738560666,267864,multilevel_details
A2_scale_WF7,Middle_L3_5,"[3, 4, 5]",46,46,0.4334743618965149,0.9517857432365417,0.9507612706584728,0.5772850513458252,0.8912500143051147,0.8884998997424185,280.7033591270447,9.349913406372071,479.1488225919643,267864,multilevel_details
