Config,Metric,Mean,Std
LH_only,Val Loss,0.3716423213481903,0.03524871915578842
LH_only,Val Acc,0.9501039385795593,0.01853695511817932
LH_only,Val Macro-F1,0.9501004219055176,0.018537066876888275
LH_only,Test Loss,0.3813706338405609,0.02175397053360939
LH_only,Test Acc,0.9484192728996277,0.010457415133714676
LH_only,Test Macro-F1,0.9483987092971802,0.010468279011547565
HL_only,Val Loss,0.3520399034023285,0.020562194287776947
HL_only,Val Acc,0.9638253450393677,0.010862655937671661
HL_only,Val Macro-F1,0.9638220071792603,0.010861922986805439
HL_only,Test Loss,0.35936543345451355,0.023377764970064163
HL_only,Test Acc,0.963061511516571,0.011730160564184189
HL_only,Test Macro-F1,0.9630483388900757,0.011742017231881618
HH_only,Val Loss,0.4528532922267914,0.04786409065127373
HH_only,Val Acc,0.9085239171981812,0.02600831538438797
HH_only,Val Macro-F1,0.9083392024040222,0.026043429970741272
HH_only,Test Loss,0.4528353214263916,0.048192765563726425
HH_only,Test Acc,0.9058235883712769,0.026324236765503883
HH_only,Test Macro-F1,0.9056744575500488,0.026418784633278847
LH_HL,Val Loss,0.3648167550563812,0.018125364556908607
LH_HL,Val Acc,0.9530145525932312,0.011443953961133957
LH_HL,Val Macro-F1,0.9530078768730164,0.011447845958173275
LH_HL,Test Loss,0.3720414638519287,0.01383201964199543
LH_HL,Test Acc,0.9537437558174133,0.009659171104431152
LH_HL,Test Macro-F1,0.9537379145622253,0.00966268964111805
LH_HH,Val Loss,0.3993186354637146,0.06626714766025543
LH_HH,Val Acc,0.9380457997322083,0.034862812608480453
LH_HH,Val Macro-F1,0.9380281567573547,0.03486369177699089
LH_HH,Test Loss,0.399283230304718,0.04421546682715416
LH_HH,Test Acc,0.9374376535415649,0.023578014224767685
LH_HH,Test Macro-F1,0.937380313873291,0.023591969162225723
HL_HH,Val Loss,0.40400996804237366,0.040297504514455795
HL_HH,Val Acc,0.9293139576911926,0.02042294293642044
HL_HH,Val Macro-F1,0.9292343854904175,0.02047940157353878
HL_HH,Test Loss,0.39132705330848694,0.010423858650028706
HL_HH,Test Acc,0.94242924451828,0.00861375778913498
HL_HH,Test Macro-F1,0.9424206018447876,0.008616677485406399
LH_HL_HH,Val Loss,0.36802613735198975,0.027544302865862846
LH_HL_HH,Val Acc,0.9534303545951843,0.017616407945752144
LH_HL_HH,Val Macro-F1,0.9534227252006531,0.017619827762246132
LH_HL_HH,Test Loss,0.3794933259487152,0.021396910771727562
LH_HL_HH,Test Acc,0.9504159688949585,0.0096591766923666
LH_HL_HH,Test Macro-F1,0.9504055976867676,0.009666661731898785
